x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
722.2336527,-493.5117663,874.742998,36.43591754,47.4991456,41.96753157,263.0108736
722.2336527,493.5117663,874.742998,36.4854397,47.4991456,41.99229265,263.0598808
722.2336527,602.370908,940.4638004,37.25768262,45.90909673,41.58338967,275.3947392
724.6431822,-605.3408028,944.2167278,37.35893964,46.07019016,41.7145649,276.4049471
724.6431822,-492.0639749,875.9193438,36.58724577,47.75494249,42.17109413,263.6490344
724.6431822,492.0639749,875.9193438,36.63865193,47.75494249,42.19679721,263.6999061
724.6431822,605.3408028,944.2167278,37.41982396,46.07019016,41.74500706,276.4651983
725,-605,944.2722065,37.3738282,46.09854541,41.7361868,276.458837
725,-600,941.0765112,37.31830076,46.12924443,41.72377259,275.7951277
725,-595,937.8965828,37.26447006,46.16331871,41.71389439,275.139591
725,-590,934.7325821,37.21237657,46.20085422,41.70661539,274.4923843
725,-585,931.5846714,37.16197877,46.24193987,41.70195932,273.8535868
725,-580,928.4530144,37.1133673,46.28666765,41.70001747,273.2234121
725,-575,925.3377762,37.06662377,46.33513278,41.70087828,272.6020682
725,-570,922.239123,37.02179457,46.38743383,41.7046142,271.9897317
725,-565,919.1572227,36.97892768,46.44367285,41.71130027,271.3865847
725,-560,916.0922443,36.93805959,46.50395559,41.72100759,270.7928018
725,-555,913.0443582,36.89924274,46.5683916,41.73381717,270.2085773
725,-550,910.0137362,36.86254254,46.63709445,41.7498185,269.6341228
725,-545,907.0005513,36.8279194,46.71018187,41.76905063,269.0695501
725,-540,904.0049779,36.79548187,46.78777599,41.79162893,268.5151225
725,-535,901.0271916,36.76533412,46.87000353,41.81766882,267.9711035
725,-530,898.0673694,36.73753804,46.95699599,41.84726702,267.4377199
725,-525,895.1256895,36.71212525,47.04888993,41.88050759,266.9151737
725,-520,892.2023313,36.68917139,47.14582716,41.91749928,266.4037162
725,-515,889.2974755,36.66877026,47.24795503,41.95836265,265.9036219
725,-510,886.4113041,36.65099406,47.3554267,42.00321038,265.4151504
725,-505,883.544,36.63591788,47.46840142,42.05215965,264.9385702
725,-500,880.6957477,36.62361988,47.58704484,42.10533236,264.4741593
725,-495,877.8667325,36.61422142,47.71152931,42.16287536,264.0222456
725,495,877.8667325,36.66606458,47.71152931,42.18879695,264.0735496
725,500,880.6957477,36.6756915,47.58704484,42.13136817,264.5256895
725,505,883.544,36.68818946,47.46840142,42.07829544,264.9902982
725,510,886.4113041,36.70347682,47.3554267,42.02945176,265.4670875
725,515,889.2974755,36.72147519,47.24795503,41.98471511,265.9557788
725,520,892.2023313,36.7421092,47.14582716,41.94396818,266.4561035
725,525,895.1256895,36.76530643,47.04888993,41.90709818,266.9678019
